# OF WIRED BB PROVIDERS,mean,count
1,70.07092465753425,292
2,68.50123752495027,501
3,66.64313432835841,603
4,67.32530916844365,469
5,67.11633495145644,412
6,66.52914705882351,340
7,65.98210300429177,233
8,66.6913913043478,115
9,66.44027777777775,72
10,64.76878787878788,66
